Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Фурс,Ліза,Олександрівна,female,1966-08-12,Тестувальник,місто Ніжин,"парк Магнітогорський, буд. 49, Борислав, 19009",005 600-48-12,romanetsamaliia@example.net
Данькевич,Стефан,Тарасович,male,1949-10-17,Менеджер з продажу,хутір Кадіївка,"узвіз Агрономічна, буд. 2 кв. 96, Кодима, 46958",014 553-05-94,fhavryshkevych@example.org
Шморгун,Орися,Федорівна,female,1980-07-17,Менеджер з продукту,село Яготин,"провулок Академіка Векслера, буд. 52, Добромиль, 36695",014 260 02 53,iaroslava69@example.com
Ажажа,Давид,Олександрович,male,1966-07-13,Системний адміністратор,хутір Татарбунари,"провулок Моторний 2-й, буд. 78, Березань , 07082",305 71 05,kdrobiazko@example.com
Шеремет,Панас,Назарович,male,1978-08-26,Дизайнер,селище Батурин,"набережна Іспанська, буд. 1 кв. 4, Долинська, 13663",+380 05 913-33-06,stytarenko@example.net
Ільєнко,Григорій,Олексійович,male,1955-06-15,Офіс-менеджер,село Броди,"шосе Офіцерська, буд. 0 кв. 000, Здолбунів, 69965",138-15-76,deriazhnyisviatoslav@example.org
Теличенко,Аарон,Захарович,male,1964-10-17,Системний адміністратор,село Обухів,"набережна Художника Федорова, буд. 2, Лебедин, 51173",+380 30 275-48-17,sviatoslavasemenchenko@example.org
Петрик,Розалія,Станіславівна,female,1962-06-20,Фінансовий аналітик,хутір Мена ,"узвіз Короленка, буд. 21 кв. 64, Балта, 32903",815-57-09,matiashdaryna@example.net
Рак,Устим,Денисович,male,1964-11-24,Дизайнер,хутір Гуляйполе,"проспект Макаренка, буд. 2 кв. 8, Бориспіль, 25555",+380 21 608-32-08,nandroshchuk@example.net
Бандера,Олександр,Марківич,male,2004-08-07,Тестувальник,селище Славута,"проспект Романтиків, буд. 3, Селидове, 26504",+380 61 368-24-91,ada41@example.com
Доценко,Олесь,Тарасович,male,1967-06-18,Офіс-менеджер,хутір Генічеськ,"сквер Дзвінка, буд. 9 кв. 3, Корюківка, 98125",+380 14 409 41 37,anitacherednyk@example.net
Демʼянчук,Варфоломій,Григорійович,male,1969-01-20,HR-менеджер,село Золоте,"проспект Степна, буд. 9 кв. 4, Апостолове, 69410",877 71 37,volodymyrazaika@example.org
Шутько,Валентина,Євгенівна,female,1968-08-04,Копірайтер,село Донецьк,"вулиця Вузький, буд. 825, Голубівка, 42520",+380 (25) 299-71-43,demianenkoopanas@example.net
Корбут,Еріка,Олександрівна,female,2004-01-02,Кадровий менеджер,хутір Красилів,"набережна Аеродромна, буд. 329 кв. 24, Сімферополь, 98798",+380 (59) 806-77-10,afomenko@example.com
Пустовіт,Леонтій,Євгенович,male,2001-06-05,Асистент керівника,хутір Дубляни,"парк Пересипська 9-та, буд. 6 кв. 8, Путивль, 40541",+380 (50) 779-18-63,czhurba@example.net
Захарченко,Орест,Васильович,male,1999-06-21,Аудитор,село Волноваха,"проспект Багрицького, буд. 100, Родинське, 45843",037 762 30 72,eduardholyk@example.com
Макаренко,Левко,Вікторович,male,1974-10-16,Тестувальник,хутір Запоріжжя,"провулок Бородінська, буд. 802 кв. 59, Новогродівка, 61653",044 879 63 91,mykytatsiutsiura@example.org
Ільченко,Устим,Максимович,male,1966-12-25,Бухгалтер,хутір Золоте,"проспект Степана Разіна, буд. 449 кв. 6, Ізмаїл, 69709",+380 (35) 257-66-19,qshakhrai@example.com
Титаренко,Тимофій,Тимофійович,male,1976-11-20,Аналітик даних,селище Буча,"парк Орловський, буд. 01 кв. 42, Вінниця, 86353",813-76-26,zakhar65@example.com
Бабій,Єва,Сергіївна,female,1980-11-29,Програміст,місто Буринь,"проспект Кустанайський 2-й, буд. 5 кв. 0, Берегове, 18093",047 669-89-93,tryhubaaron@example.net
Червоненко,Данило,Олегович,male,1947-09-11,Системний адміністратор,хутір Біла Церква,"шосе Студентський 2-й, буд. 6 кв. 3, Моспине, 21489",+380 93 810-72-17,levkotarasenko@example.com
Шахрай,Панас,Олександрович,male,1949-08-19,Менеджер з закупівель,село Тетіїв,"набережна Маланова, буд. 96, Євпаторія, 46229",020 525 75 11,frants39@example.org
Шеремета,Мілена,Остапівна,female,2004-12-31,HR-менеджер,хутір Городище ,"парк Середньофонтанська, буд. 4, Добромиль, 69065",+380 94 084 68 36,bohdanna37@example.org
Усик,Лілія,Кирилівна,female,1965-10-03,HR-менеджер,місто Бібрка,"парк Прохоровський, буд. 28, Білопілля, 65228",052 176-51-93,havriushenkovalentyna@example.org
Іванченко,Болеслав,Петрович,male,1967-11-23,Менеджер з закупівель,хутір Алчевськ,"шосе 12-та Суворовська, буд. 937, Сімферополь, 98368",+380 34 093-92-17,matiashkhrystyna@example.net
Сіробаба,Едита,Остапівна,female,1954-11-27,Асистент керівника,село Ірміно,"площа Прибережний, буд. 2, Миронівка, 83611",+380 25 226-09-29,aandriishyn@example.net
Рябошапка,Анастасія,Назарівна,female,2007-09-16,Програміст,хутір Новоукраїнка,"узвіз Деревообробний 1-й, буд. 0, Новоукраїнка, 41064",001 558 77 70,lupiiolha@example.com
Аверченко,Галина,Павлівна,female,1980-01-02,Системний адміністратор,хутір Соснівка ,"узвіз Івана Франка, буд. 65, Ворожба, 98220",038 585 62 16,ytychyna@example.com
Венгринович,Камілла,Борисівна,female,1984-08-13,Копірайтер,хутір Миколаїв,"провулок Верещагіна, буд. 154 кв. 847, Балаклія, 68712",+380 73 646 44 51,zhohol-ianovskyi@example.net
Вернидуб,Тетяна,Борисівна,female,1994-10-01,PR-менеджер,місто Єнакієве,"шосе Лїнія 1-ша, буд. 84, Пологи , 02529",993 16 04,franchukkhoma@example.org
Ярош,Тарас,Костянтинович,male,1939-08-29,Кадровий менеджер,село Золотоноша,"набережна Бокаріуса Миколи, буд. 97, Канів, 84016",690-78-34,liudmyla59@example.com
Зубко,Ігнат,Євгенович,male,1938-04-23,Менеджер з продукту,хутір Дніпрорудне,"набережна Рульовий, буд. 764 кв. 61, Острог, 43102",050 807 28 55,markoolifirenko@example.com
Авдєєнко,Артем,Романович,male,2005-04-22,Аналітик даних,село Дебальцеве,"парк Єнісейська, буд. 1, Первомайський , 55407",+380 (80) 406-05-31,stefanvasylenko@example.com
Адаменко,Пріска,Денисівна,female,1974-03-01,Менеджер з закупівель,село Красноперекопськ,"площа Єліна, буд. 67 кв. 82, Галич, 42352",+380 (18) 614-09-21,sviatoslav66@example.org
Власюк,Богданна,Мар'янівна,female,1975-12-13,Менеджер з продажу,село Українка ,"сквер Мазепи Івана, буд. 1 кв. 87, Мирноград, 65225",510-70-16,rozaliia96@example.com
Василевич,Єлисавета,Назарівна,female,1938-07-07,Аудитор,хутір Нова Каховка,"сквер Волна тупик, буд. 4 кв. 6, Іллінці, 51434",+380 44 097-27-55,irena24@example.org
Височан,Пріска,Марківна,female,1949-05-24,Системний адміністратор,село Джанкой,"проспект Середньофонтанський, буд. 388, Славута, 18399",+380 01 445 53 25,zpavlenko@example.net
Примаченко,Ірена,Станіславівна,female,1962-06-29,Офіс-менеджер,місто Ужгород,"узвіз Розумовський 1-й, буд. 15 кв. 34, Каховка, 28324",091 42 63,oryna08@example.com
Литвиненко,Аврелій,Михайлович,male,1990-12-26,Копірайтер,село Тернівка ,"набережна Байкал тупик, буд. 972 кв. 7, Федорівка, 78071",023 423-02-87,dzhuspetro@example.net
Зінчук,Пармен,Марківич,male,1947-01-07,Менеджер з маркетингу,село Підгородне,"парк Західний 4-й, буд. 0, Чоп, 85934",013 903-69-84,mdanylenko@example.net
Забашта,Володимир,Вікторович,male,1973-11-24,Тестувальник,хутір Хорол ,"площа Естонський, буд. 41, Гадяч, 17729",053 996-03-38,hlibatamaniuk@example.org
Вакарчук,Мартин,Юрійович,male,1989-04-18,Аудитор,селище Голубівка,"проспект Лінія 25-та, буд. 8, Пологи , 56705",+380 (74) 238-86-51,emiliia09@example.com
Тригуб,Ярема,Зеновійович,male,2007-04-24,Системний адміністратор,місто Дружківка,"узвіз Проектований 4-й, буд. 8, Красилів, 79708",049 021-24-65,khrystynaovcharenko@example.org
Швайка,Алла,Леонідівна,female,2004-04-11,Архітектор,село Ірпінь,"набережна Миколи Огренича, буд. 235 кв. 7, Каховка, 47329",696-42-37,trokhym75@example.org
Нестеренко,Устим,Михайлович,male,1979-11-07,Бухгалтер,селище Кременець,"площа Тракторна, буд. 289, Брянка, 75486",072 261 35 93,xbebeshko@example.net
Девдюк,Аарон,Геннадійович,male,1979-10-21,Системний адміністратор,селище Гребінка,"сквер Палубний, буд. 85, Чорноморськ, 03885",805 43 66,haidaburazynovii@example.net
Малишко,Семен,Павлович,male,1940-04-03,Тестувальник,місто Буча,"парк Магістральна, буд. 363 кв. 7, Миколаївка , 37538",647 17 08,irenaovcharenko@example.net
Швачко,Мирослав,Павлович,male,1942-12-25,Асистент керівника,місто Токмак,"вулиця Рощева, буд. 17 кв. 8, Таврійськ, 04303",+380 05 084-36-38,fedirbakumenko@example.org
Атрощенко,Юстим,Геннадійович,male,1988-02-13,Менеджер з маркетингу,місто Бар,"вулиця Лінія 30-та, буд. 50 кв. 8, Мукачево, 48448",031 979 01 44,korolenkomarta@example.com
Чайка,Пріска,Марківна,female,1999-04-02,Аудитор,селище Ізяслав,"провулок Крижанівський, буд. 65 кв. 56, Ізюм, 92388",+380 79 439-07-43,orkhypnosenko@example.com
Артюшенко,Арсен,Григорійович,male,1979-07-23,Менеджер з маркетингу,хутір Лубни,"площа Онілової, буд. 819, Білгород-Дністровський, 46440",936-52-12,leontiiteslia@example.org
Абраменко,Орест,Марківич,male,1938-12-22,Кадровий менеджер,місто Носівка,"площа Танкерна, буд. 16, Чигирин, 84983",+380 (09) 793-80-30,uivanchenko@example.net
Слюсар,Леонтій,Захарович,male,1969-07-30,Фінансовий аналітик,хутір Глобине,"набережна Локальна, буд. 5, Тернівка , 52289",089 265 42 74,ruslankopytko@example.com
Ажажа,Богуслава,Вікторівна,female,1953-12-27,Інженер з якості,селище Сіверськ,"узвіз Макарова, буд. 92 кв. 544, Олешки, 92805",+380 05 976-98-12,ekovalenko@example.net
Шиян,Федір,Захарович,male,1998-12-18,Системний адміністратор,хутір Дружківка,"узвіз Цегельнозаводська, буд. 3 кв. 7, Глобине, 27168",+380 (70) 242-01-40,voblyipanas@example.net
Оніщук,Пармен,Павлович,male,1994-08-23,Аудитор,місто Миколаїв,"парк Панаса Мирного, буд. 42 кв. 05, Андрушівка, 99922",+380 (27) 828-95-18,mkarpenko@example.org
Гайденко,Ігор,Васильович,male,1985-06-14,PR-менеджер,місто Соледар,"сквер 2-га Суворовська, буд. 104 кв. 24, Амвросіївка, 04023",+380 90 043-18-97,franchuknataliia@example.org
Євдокименко,Варвара,Володимирівна,female,1996-12-03,Фінансовий аналітик,місто Одеса,"сквер Сурикова 1-й, буд. 4, Новий Розділ, 95502",+380 (11) 145-61-09,yprykhodko@example.com
Єсипенко,Єлисавета,Сергіївна,female,1997-09-27,Менеджер з закупівель,хутір Берестечко,"шосе Зелена, буд. 3 кв. 95, Старобільськ, 25751",+380 15 141-19-07,zynovii05@example.org
Дейнеко,Августин,Кирилович,male,1948-04-03,Асистент керівника,хутір Рубіжне,"парк Бессарабська, буд. 91, Родинське, 41667",+380 38 845-24-68,yshvaika@example.net
Ємельяненко,Марко,Андрійович,male,1942-05-29,Асистент керівника,село Чортків,"провулок Польова, буд. 829, Географія Вільнянська, 16368",+380 26 881-95-41,bohdanna21@example.com
Удовенко,Богданна,Василівна,female,1950-03-14,Менеджер з маркетингу,хутір Ладижин,"сквер Французький, буд. 154, Перечин, 19116",+380 98 793-89-00,stepan11@example.org
Василевич,Геннадій,Зеновійович,male,1942-06-11,Архітектор,хутір Тячів,"вулиця Південно-Санаторний, буд. 039 кв. 489, Хоростків, 69685",036 325-62-03,bohdan27@example.org
Власюк,Святослава,Андріївна,female,1991-01-04,Асистент керівника,хутір Золотоноша,"проспект Тимірязєва, буд. 426, Полонне, 68430",073 190 98 27,anestaiko@example.org
Чуйко,Леонід,Євгенович,male,1958-04-01,Асистент керівника,село Борщів,"сквер 11-та Суворовська, буд. 92 кв. 42, Болград, 03928",+380 50 766-36-97,ilienkodmytro@example.net
Александренко,Климент,Вікторович,male,1979-05-02,HR-менеджер,селище Кальміуське,"сквер Олександра Тимошенка, буд. 70, Глиняни, 97467",+380 (17) 101-92-68,nazarbabych@example.net
Чередник,Еріка,Давидівна,female,1992-08-04,Аудитор,селище Часів Яр,"площа Новощіпний ряд, буд. 29 кв. 6, Бережани, 23117",711 05 42,alina89@example.net
Архипенко,Антон,Станіславович,male,1972-11-07,PR-менеджер,селище Київ,"проспект 10-та Лінія Марії Демченко, буд. 31 кв. 043, Баштанка, 40123",+380 09 382-67-42,oleksandriurchuk@example.com
Андрощук,Клавдія,Геннадіївна,female,1981-10-13,Менеджер з закупівель,хутір Тисмениця,"шосе Фабрична, буд. 907 кв. 14, Кролевець, 49011",+380 35 736-05-68,ieva30@example.org
Карпа,Святослава,Леонідівна,female,1970-01-04,Системний адміністратор,селище Березне,"вулиця Восьмого Березня Лінія 2-га, буд. 04, Авдіївка, 54400",000 455 28 09,ievhen71@example.net
Ватаманюк,Демид,Володимирович,male,1972-06-22,Аналітик даних,місто Костопіль,"проспект Манежний, буд. 2 кв. 38, Погребище, 32090",033-80-02,talannestor@example.net
Романчук,Ольга,Данилівна,female,2000-10-13,Тестувальник,хутір Вуглегірськ,"проспект Космонавтів, буд. 96 кв. 15, Єнакієве, 41644",+380 91 975-28-26,alla89@example.com
Деркач,Валентин,Юрійович,male,1962-03-08,Менеджер з продажу,селище Лисичанськ,"парк Кругова, буд. 91 кв. 7, Лозова , 85938",+380 97 417-36-43,semenvakulenko@example.net
Килимник,Мартин,Ігорович,male,1945-09-19,Дизайнер,село Шумськ,"шосе Михайлівська, буд. 0, Хотин, 44092",005 423 67 68,pdanchenko@example.com
Яремчук,Лариса,Петрівна,female,1964-11-07,Аудитор,селище Лубни,"провулок Армійська, буд. 7, Ясинувата, 72451",666 54 34,zartemenko@example.net
Охріменко,Ярема,Данилович,male,1950-09-15,Програміст,селище Хрустальний,"узвіз Лінія 35-та, буд. 77 кв. 31, Ялта, 62563",+380 12 723-91-71,ivashchenkovalentyn@example.org
Ковалюк,Пантелеймон,Захарович,male,1941-08-08,Аудитор,село Красногорівка,"площа Адміральський, буд. 706 кв. 13, Ялта, 70725",045 738-45-47,savramenko@example.com
Черненко,Маруся,Сергіївна,female,1963-03-31,Фінансовий аналітик,селище Брянка,"проспект Академіка Вавилова, буд. 439 кв. 03, Броди, 29912",292-11-00,antonilchenko@example.com
Палій,Мілена,Ярославівна,female,1944-05-31,Аудитор,хутір Алмазна,"площа Казковий, буд. 0 кв. 24, Конотоп, 22587",+380 33 526 75 07,lutsenkovasylyna@example.net
Тимченко,Василина,Марківна,female,2004-12-29,Офіс-менеджер,хутір Арциз,"сквер Карантинна, буд. 536, Ясинувата, 07668",075 964-41-31,veniiamyn97@example.org
Вдовенко,Валентин,Марківич,male,1942-07-17,Аналітик даних,село Південне ,"площа Чорноморський 5-й, буд. 974, Рудки, 42639",+380 83 405 26 35,odarka15@example.com
Дубина,Азар,Остапович,male,1994-11-20,Менеджер з закупівель,село Болехів,"парк Аеродромна, буд. 116 кв. 574, Ужгород, 40517",+380 40 518 57 23,liliiaartemenko@example.org
Дзиндра,Маруся,Олегівна,female,1998-07-26,HR-менеджер,хутір Радивилів,"узвіз М’ясоєдовська, буд. 21, Білопілля, 93437",+380 48 142 59 63,feofanadamenko@example.net
Заїка,Данна,Борисівна,female,1969-09-07,Програміст,місто Краматорськ,"парк Калнишевського Петра, буд. 1, Херсон, 73110",+380 (79) 933-39-30,havryliukorest@example.net
Демʼянчук,Варфоломій,Борисович,male,2005-09-24,Аудитор,селище Токмак,"сквер Локомотивна, буд. 687 кв. 8, Коломия, 63890",071 561 12 11,adamshtokalo@example.com
Савенко,Софія,Геннадіївна,female,1965-01-16,Офіс-менеджер,селище Мирноград,"набережна Неплія, буд. 76 кв. 52, Світловодськ, 34617",+380 20 116-18-47,prokhirsachenko@example.com
Каденюк,Вікторія,Михайлівна,female,1958-06-01,Менеджер з закупівель,селище Рогатин,"набережна Богуна, буд. 997 кв. 324, Монастириська, 34377",+380 04 195-29-66,dmykhailychenko@example.org
Бабариченко,Олександр,Станіславович,male,1977-11-01,HR-менеджер,село Люботин,"проспект Скидановський узвіз, буд. 103 кв. 2, Надвірна, 14971",037 155 17 35,arkadiidzhus@example.org
Гайдай,Ярема,Олексійович,male,1949-04-15,Менеджер з закупівель,селище Селидове,"вулиця Жасминна, буд. 32, Приморськ (Україна), 93065",208-88-22,iefrem14@example.net
Чуприна,Ігор,Григорійович,male,2003-12-30,Дизайнер,хутір Вашківці,"площа Новоселів, буд. 91 кв. 612, Семенівка, 34910",+380 97 417-71-21,vasylyna62@example.com
Фастенко,Пилип,Олександрович,male,1983-11-30,Кадровий менеджер,селище Бобровиця,"проспект Камишова, буд. 9, Підгородне, 66549",302 44 02,borysromanenko@example.org
Данилюк,Опанас,Захарович,male,1958-03-29,Тестувальник,місто Кілія,"проспект Старобазарний, буд. 1, Кам'янка-Бузька, 84771",993 06 32,deriazhnyihlib@example.net
Носенко,Людмила,Андріївна,female,1964-12-20,Менеджер з закупівель,місто Косів,"набережна М’ясоєдовська, буд. 52 кв. 211, Бережани, 30718",+380 53 916-48-42,usyktrokhym@example.com
Франко,Соломія,Павлівна,female,1967-05-27,Інженер з якості,селище Севастополь,"вулиця Флотський 4-й, буд. 87, Первомайськ, 61390",031 946 84 36,tykhyieduard@example.net
Мазур,Марта,Мар'янівна,female,1942-12-31,Бухгалтер,хутір Косів,"площа Розумовський 1-й, буд. 429 кв. 56, Довжанськ, 43414",+380 76 593 05 17,leonidmatviienko@example.com
Терещенко,Леонтій,Леонідович,male,1945-12-03,Аудитор,хутір Прилуки,"сквер Мічуріна, буд. 05, Іршава, 19982",263 45 83,shelestfedir@example.com
Чаленко,Левко,Петрович,male,1946-07-01,Фінансовий аналітик,місто Теребовля,"парк Трудових резервів, буд. 25 кв. 225, Гадяч, 04996",080 689-42-79,olesgereta@example.net
Цушко,Василь,Олександрович,male,1982-08-05,Менеджер з продукту,селище Лозова ,"узвіз Дежньова, буд. 4, Вараш, 25096",+380 44 367-29-76,danylenkoruslan@example.net
Акименко,Ігор,Петрович,male,1958-07-01,PR-менеджер,село Моспине,"узвіз Старорізнична, буд. 8 кв. 400, Буча, 81044",+380 72 262 34 17,oles01@example.com
Рак,Єфрем,Зеновійович,male,1952-10-28,Менеджер з продажу,селище Первомайськ,"провулок Ляпунова, буд. 9, Богуслав, 91164",523 69 35,andriiteslia@example.com
Саченко,Симон,Андрійович,male,1996-08-26,Менеджер з продажу,селище Борзна,"набережна Цегельнозаводська, буд. 1 кв. 06, Березне, 50656",065 108-56-55,zlatoslavaizhak@example.com
Дахно,Варвара,Зеновіївна,female,1996-12-10,Асистент керівника,село Петрово-Красносілля,"проспект Ланжерон, буд. 828 кв. 7, Нетішин, 02225",465 91 35,dhaidabura@example.com
Кармалюк,Ярослава,Павлівна,female,1993-11-23,Бухгалтер,селище Новоград-Волинський,"шосе Дунаєвського 2-й, буд. 05 кв. 857, Красилів, 15300",+380 32 579 60 28,qkhomyk@example.com
Ковпак,Орхип,Григорійович,male,2005-10-31,Менеджер з маркетингу,селище Судак ,"узвіз Пересипський 2-й, буд. 522, Нікополь, 08681",+380 33 553 12 95,rnosenko@example.org
Стус,Віктор,Андрійович,male,1943-08-28,Програміст,село Миронівка,"провулок Новаторів, буд. 3, Мирноград, 63798",+380 71 140-67-53,geretakyrylo@example.org
Архипенко,Аарон,Мар'янович,male,1986-03-02,Аналітик даних,селище Борщів,"вулиця Хлібна гавань, буд. 26 кв. 654, Барвінкове, 69526",+380 43 821-29-64,onufriienkoboryslav@example.net
Назаренко,Святослава,Ігорівна,female,1991-02-05,Тестувальник,селище Щастя ,"провулок Відважних, буд. 073 кв. 080, Хорол , 85919",+380 34 445 53 72,bohdanshylo@example.org
Дашкевич,Трохим,Остапович,male,1976-08-11,Системний адміністратор,селище Іршава,"сквер Проектований 4-й, буд. 163 кв. 375, Бровари, 46805",+380 72 343 86 45,holoborodkoborys@example.org
Лесик,Симон,Павлович,male,1980-04-10,HR-менеджер,село Єнакієве,"вулиця Композитора Глинки, буд. 02, Яремче, 59854",906-12-10,martyn06@example.com
Стець,Леопольд,Григорійович,male,1994-10-12,Програміст,селище Добромиль,"вулиця Станційна 1-ша, буд. 351, Камінь-Каширський, 32072",044 653 37 20,emiliiabazylevskyi@example.org
Кабаненко,Ірена,Станіславівна,female,1965-12-26,Інженер з якості,місто Баштанка,"сквер Пересипський міст, буд. 945, Устилуг, 51766",+380 93 549-15-74,korbutanastasiia@example.net
Андрусенко,Захар,Сергійович,male,1982-03-05,Менеджер з маркетингу,місто Українськ,"сквер Хімічний 2-й, буд. 00, Переяслав, 34540",051 783 67 09,ihor59@example.com
Цимбалюк,Спас,Зеновійович,male,1979-11-22,Системний адміністратор,село Вовчанськ,"площа Болградська, буд. 6 кв. 07, Деражня, 61917",000 552 38 90,priskabarabash@example.org
Петренко,Соломія,Романівна,female,1978-12-12,Системний адміністратор,місто Чоп,"узвіз Квіткова, буд. 170, Красноперекопськ, 73479",+380 (23) 608-69-33,hzhuk@example.com
Наливайко,Борис,Кирилович,male,1979-03-20,Менеджер з закупівель,хутір Мирноград,"проспект Лідерсівський, буд. 75, Гайсин, 14622",049 259 59 01,avdieienkolarysa@example.com
Рябошапка,Устим,Іванович,male,1975-01-12,Менеджер з продажу,хутір Міусинськ,"вулиця Рішельєвська, буд. 6 кв. 54, Корюківка, 42122",+380 12 203 13 80,arkadiitsarenko@example.net
Бараник,Прохір,Максимович,male,1993-01-31,Аналітик даних,місто Балта,"парк Старорізнична, буд. 4 кв. 436, Тростянець, 69812",069 286 49 54,tsisykiefrem@example.net
Ющенко,Варвара,Ігорівна,female,1962-05-19,Бухгалтер,місто Рогатин,"провулок Петрашевського, буд. 896, Красноперекопськ, 99680",036 440 76 29,davydavramchuk@example.org
Радченко,Трохим,Сергійович,male,1986-01-19,Фінансовий аналітик,селище Харцизьк,"шосе Толбухіна, буд. 31 кв. 202, Острог, 77825",089 473-29-32,hlib47@example.net
Стець,Артем,Захарович,male,1979-08-10,Аналітик даних,місто Корсунь-Шевченківський,"площа Пісочний, буд. 56 кв. 0, Великі Мости, 07345",+380 45 466 39 54,opiatachenko@example.com
Абраменко,Христина,Володимирівна,female,2008-04-05,Менеджер з продажу,село Жашків,"вулиця Пестеля, буд. 64, Баштанка, 96060",+380 (15) 926-16-12,iarynabazavluchenko@example.org
Назаренко,Тарас,Костянтинович,male,1951-12-21,Системний адміністратор,місто Богодухів,"сквер Лінія 37-ма, буд. 5 кв. 6, Нова Одеса, 94673",+380 16 949 59 91,hlukash@example.com
Акуленко,Амалія,Романівна,female,1977-07-24,Аудитор,хутір Щолкіне,"узвіз Ціолковського, буд. 10, Феодосія, 16235",+380 23 646-84-21,ruslan26@example.org
Нестайко,Руслан,Максимович,male,1948-11-26,Архітектор,місто Радомишль,"проспект Добровольського, буд. 51 кв. 7, Зборів, 58954",036 845-67-41,iaremahaidenko@example.org
Швачка,Любов,Давидівна,female,1966-09-02,Бухгалтер,хутір Нововолинськ,"площа Дачна, буд. 09, Валки , 12692",091 75 35,mholoborodko@example.net
Зінкевич,Оксана,Зеновіївна,female,2007-04-10,Фінансовий аналітик,місто Курахове,"сквер Бузковий 1-й, буд. 8, Пологи , 18397",+380 (89) 051-87-45,okhrimbakumenko@example.com
Гаврилів,Едуард,Зеновійович,male,1995-03-31,Копірайтер,місто Марганець ,"шосе Лінія 54-та, буд. 4, Баранівка, 47298",694-10-05,iryna90@example.net
Балабан,Мирослав,Юрійович,male,2000-12-25,Менеджер з закупівель,місто Заводське,"проспект Балківська, буд. 322, Татарбунари, 83082",031 280 41 30,udovychenkovasylyna@example.org
Павленко,Пріска,Леонідівна,female,1942-08-06,Аналітик даних,селище Гайсин,"набережна Нахімова, буд. 67, Кремінна, 57334",069 303-87-42,zorianhavriushenko@example.org
Швачко,Аніта,Кирилівна,female,1950-02-14,Аналітик даних,хутір Івано-Франківськ,"набережна Васнецова, буд. 7, Красногорівка, 30086",057 966 37 49,mykolairiabchenko@example.net
Даньків,Алевтин,Михайлович,male,1967-01-26,Кадровий менеджер,місто Сімферополь,"сквер Куниці, буд. 05 кв. 4, Червоноград, 84954",018 075-07-69,orkhypiukhymenko@example.org
Корж,Руслан,Тимофійович,male,1982-09-13,Бухгалтер,селище Ланівці,"сквер Балтський 2-й, буд. 12, Люботин, 56244",006 189 52 42,matiashfrants@example.net
Акименко,Данна,Давидівна,female,1944-06-09,Копірайтер,хутір Виноградів,"проспект Херсонський, буд. 441 кв. 01, Вишневе , 43771",570-08-84,volodymyr74@example.com
Даценко,Марина,Вікторівна,female,2005-02-23,Фінансовий аналітик,хутір Умань,"провулок Сабанєєв, буд. 59 кв. 0, Покров, 72015",+380 (12) 025-60-85,zorian12@example.com
Тарасенко,Тарас,Тимофійович,male,1967-06-28,Копірайтер,село Великі Мости,"проспект Новикова, буд. 8 кв. 811, Мелітополь, 23851",098 145 60 80,oleksa58@example.org
Чумак,Антон,Михайлович,male,1964-05-13,HR-менеджер,село Красноград,"набережна Яші Гордієнка, буд. 84, Горлівка, 18221",+380 26 686-01-73,panteleimon60@example.org
Василашко,Яків,Станіславович,male,1969-06-13,Аналітик даних,місто Макіївка,"парк Бригадна, буд. 6, Українка , 20097",045 638-28-92,amvrosii46@example.org
Гунько,Максим,Захарович,male,1987-12-30,Кадровий менеджер,хутір Севастополь,"узвіз Матроська Слобідка, буд. 25 кв. 0, Боярка, 06457",+380 95 094-14-18,leontiiievtushenko@example.org
Дахно,Лариса,Олександрівна,female,1995-10-01,Системний адміністратор,село Балта,"набережна Героїв Небесної Сотні, буд. 565, Шахтарськ, 50413",759-74-23,nataliia82@example.org
Вергун,Іван,Денисович,male,2002-12-21,Системний адміністратор,місто Вишгород,"вулиця Плієва, буд. 977, Новоселиця, 34304",+380 (88) 589-81-67,neporozhniidmytro@example.org
Батюк,Аліна,Марківна,female,1972-02-08,Менеджер з продукту,село Сокиряни,"сквер Соляний 5-й, буд. 67, Первомайський , 19786",023 230 26 04,zasukhanataliia@example.org
Бгиденко,Юстина,Петрівна,female,2000-12-20,Менеджер з маркетингу,селище Бобровиця,"парк Військовий узвіз, буд. 579 кв. 988, Рогатин, 72316",125 67 56,iaroslava13@example.com
Базилевський,Мілена,Василівна,female,1942-11-06,Аудитор,село Антрацит ,"парк Газовий, буд. 843, Зміїв, 63946",777 38 12,antontsushko@example.org
Шило,Антон,Геннадійович,male,2008-01-13,Аудитор,село Щастя ,"площа Пейзажна, буд. 791 кв. 7, Красногорівка, 94459",058 536-71-16,tykhyisemen@example.com
Атаманюк,Йосип,Володимирович,male,1976-07-21,Дизайнер,місто Тальне,"сквер Слави, буд. 87 кв. 821, Старокостянтинів, 61841",+380 43 626-30-14,tonishchuk@example.com
Шевченко,Микита,Зеновійович,male,1941-04-01,Архітектор,селище Камінь-Каширський,"проспект Короткий, буд. 73, Ізюм, 37709",+380 (44) 364-72-13,kylymnyktereza@example.org
Павленко,Оксенія,Федорівна,female,1958-03-20,Менеджер з продажу,село Помічна,"вулиця Місячна, буд. 6, Хуст, 36547",+380 (43) 634-12-97,aiefymenko@example.net
Корпанюк,Мирослав,Олександрович,male,1956-08-20,Кадровий менеджер,місто Полтава,"проспект Чапаєва, буд. 436 кв. 14, Прип'ять , 88102",706-30-47,vasyldankevych@example.org
